id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.57949E+17,Estudio tranquilo y cómodo,503508081,Raul,Centro,Embajadores,40.4100857,-3.708757501,Entire home/apt,71,1,61,18/03/2024,5.23,1,105,61,NA
8.6013E+17,Habitación en Madrid Río,267332998,Natalia,Latina,Puerta del Angel,40.40943064,-3.725461541,Private room,32,1,39,04/03/2024,3.41,1,315,39,NA
8.60132E+17,Cozy and beautiful appartment,2063957,Grenadine,Chamberí,Almagro,40.4364631,-3.696027574,Entire home/apt,201,2,0,,,1,334,0,NA
8.60296E+17,Hab compartida,372206573,Debora,Chamartín,Prosperidad,40.44040566,-3.675064804,Shared room,19,1,1,04/05/2023,0.09,3,231,1,NA
8.60299E+17,3. Amplia habitación particular con cama doble,336778504,Hernan Felipe,Latina,Cármenes,40.39908268,-3.737447443,Private room,51,1,20,03/03/2024,1.72,3,338,20,NA
8.60309E+17,Apartamento a 15min de Atocha,508113863,Yolanda,Puente de Vallecas,San Diego,40.39160293,-3.668216357,Private room,521,1,5,25/09/2023,0.43,1,365,5,NA
8.58383E+17,"habitación individual, doble o triple confortable",507731620,David,Carabanchel,Comillas,40.39484681,-3.709280565,Private room,93,2,5,01/05/2023,0.43,2,365,5,NA
8.5841E+17,Street level in residential area,367044669,G8 Promap,Moratalaz,Vinateros,40.40541191,-3.644758579,Entire home/apt,75,3,27,12/03/2024,2.47,2,157,27,NA
8.58488E+17,Piso sencillo de 2 habitaciones,122175827,Vanessa,Carabanchel,Puerta Bonita,40.38382268,-3.73335253,Entire home/apt,68,7,2,04/03/2024,0.34,2,143,2,NA
8.60506E+17,"piso 2 habitaciones, exterior.",89368195,Leslie,Carabanchel,Comillas,40.39147827,-3.710049187,Entire home/apt,69,2,0,,,1,336,0,NA
8.58489E+17,Habitación privada en Madrid,64657773,Zoraida,Latina,Puerta del Angel,40.40660814,-3.735040421,Private room,51,2,16,09/12/2023,1.43,1,363,16,NA
8.60657E+17,Nice room close to Retiro's Park code 27008,508167897,Ingrid,Retiro,Pacífico,40.40399,-3.67888,Private room,,2,2,30/04/2023,0.18,1,0,2,NA
8.5855E+17,Apartamento en zona residencial,504451876,Anais,San Blas - Canillejas,Simancas,40.427871,-3.629037004,Entire home/apt,80,2,30,14/03/2024,2.53,1,318,30,NA
8.60694E+17,Habitación cómoda y tranquila,502783623,Yosefiph,Fuencarral - El Pardo,Pilar,40.4726809,-3.7111952,Private room,22,3,12,20/03/2024,1.04,1,323,12,NA
8.58605E+17,se alquila habitación,240501890,Jessica,Villaverde,Butarque,40.34245765,-3.683638238,Private room,46,1,0,,,1,31,0,311090
8.58634E+17,Encantador apartamento en Chueca,26432245,Pablo,Centro,Universidad,40.42394745,-3.701292072,Entire home/apt,160,2,26,10/03/2024,2.28,4,129,26,NA
8.58691E+17,Apartamento Forum.,242733970,Maria Elena,Centro,Cortes,40.41109643,-3.694356542,Entire home/apt,104,2,45,07/03/2024,3.88,1,278,45,NA
